name,lat,lon
,,
Aniakchak,56.88,-158.17
Black Peak,56.552,-158.785
Chiginagak,57.135,-156.99
Dana,55.641,-161.214
Denison,58.418,-154.449
Douglas,58.855,-153.542
Dutton,55.183,-162.276
Emmons Lake,55.341,-162.073
Fourpeaked,58.77,-153.672
Frosty,55.067,-162.835
Griggs,58.354,-155.092
Kaguyak,58.608,-154.028
Katmai,58.28,-154.963
Kialagvik,57.203,-156.745
Kukak,58.453,-154.355
Kupreanof,56.011,-159.797
Mageik,58.195,-155.253
Martin,58.172,-155.361
Novarupta,58.27,-155.157
Pavlof,55.417,-161.894
Pavlof Sister,55.457,-161.854
Snowy Mountain,58.336,-154.682
Steller,58.43,-154.4
Stepovak Bay 2,55.913,-160.041
Stepovak Bay 3,55.929,-160.002
Stepovak Bay 4,55.954,-159.954
Stepovak Bay Group,55.917,-160.017
Trident,58.236,-155.1
Ugashik-Peulik,57.751,-156.368
Ukinrek Maars,57.832,-156.51
Unnamed,57.87,-155.411
Veniaminof,56.17,-159.38
Yantarni,57.019,-157.185
Augustine,59.363,-153.43
Amak,55.424,-163.149
Fisher,54.65,-164.43
Isanotski,54.765,-163.723
Roundtop,54.8,-163.589
Shishaldin,54.756,-163.97
Westdahl,54.516,-164.65
